Time(1ps)  *axi/rlast
========== ==========
0          0         
320000     1         
530000     0         
630000     1         
780000     0         
820000     1         
1010000    0         
1090000    1         
1220000    0         
1240000    1         
1370000    0         
1390000    1         
1690000    0         
1770000    1         
1940000    0         
2000000    1         
2210000    0         
2310000    1         
2520000    0         
2620000    1         
2790000    0         
2850000    1         
3000000    0         
3040000    1         
3270000    0         
3390000    1         
3520000    0         
3540000    1         
3770000    0         
3890000    1         
4040000    0         
4080000    1         
4310000    0         
4430000    1         
4620000    0         
4700000    1         
4830000    0         
4850000    1         
5020000    0         
5080000    1         
5250000    0         
5310000    1         
5520000    0         
5620000    1         
5830000    0         
5930000    1         
6140000    0         
6240000    1         
6370000    0         
6390000    1         
6620000    0         
6740000    1         
6970000    0         
7090000    1         
7320000    0         
7440000    1         
7690000    0         
7830000    1         
8060000    0         
8180000    1         
8410000    0         
8530000    1         
8740000    0         
8840000    1         
8990000    0         
9030000    1         
9350000    0         
9450000    1         
9600000    0         
9640000    1         
9890000    0         
10030000   1         
10280000   0         
10420000   1         
10630000   0         
10730000   1         
10860000   0         
10880000   1         
11070000   0         
11150000   1         
11390000   0         
11410000   1         
11690000   0         
11750000   1         
11980000   0         
12100000   1         
12250000   0         
12290000   1         
12480000   0         
12560000   1         
12710000   0         
12750000   1         
12770000   1         
